################################################################################
#                                                                              #
# Standard profile data format defined by Kang Sun                             #
# Total levels: 38                                                             #
# File saved by Kang Sun on 20-Jun-2017                                        #
#                                                                              #
################################################################################

Source: /data/tempo2/ggonzale/GEOCAPE-TOOL/geocape_data/TES_Data/AtmProfiles_Data_AFGLUS.asc 

       P (hPa)       H (km)    T (K)    H2O (vmr)    CO2 (vmr)    CH4 (vmr)     O2 (vmr)
  1013.0000000    0.0000000   288.20   7.7516E-03   3.8033E-04   1.7000E-06   2.0950E-01
   898.7999900    1.0000000   281.70   6.0764E-03   3.8034E-04   1.7000E-06   2.0950E-01
   795.0000000    2.0000000   275.20   4.6347E-03   3.8030E-04   1.7000E-06   2.0950E-01
   701.2000100    3.0000000   268.70   3.1835E-03   3.8018E-04   1.7000E-06   2.0950E-01
   616.5999800    4.0000000   262.20   2.1589E-03   3.8016E-04   1.7000E-06   2.0950E-01
   540.5000000    5.0000000   255.70   1.3979E-03   3.8025E-04   1.7000E-06   2.0950E-01
   472.2000100    6.0000000   249.20   9.2578E-04   3.8016E-04   1.7000E-06   2.0950E-01
   411.1000100    7.0000000   242.70   5.7254E-04   3.8036E-04   1.7000E-06   2.0950E-01
   356.5000000    8.0000000   236.20   3.6698E-04   3.8029E-04   1.7000E-06   2.0950E-01
   308.0000000    9.0000000   229.70   1.5842E-04   3.8028E-04   1.6900E-06   2.0950E-01
   265.0000000   10.0000000   223.30   7.0013E-05   3.8029E-04   1.6900E-06   2.0950E-01
   227.0000000   11.0000000   216.80   3.6155E-05   3.8027E-04   1.6800E-06   2.0950E-01
   194.0000000   12.0000000   216.70   1.9074E-05   3.8028E-04   1.6600E-06   2.0950E-01
   165.8000000   13.0000000   216.70   1.0859E-05   3.8030E-04   1.6500E-06   2.0950E-01
   141.7000000   14.0000000   216.70   5.9306E-06   3.8023E-04   1.6300E-06   2.0950E-01
   121.1000000   15.0000000   216.70   5.0030E-06   3.8023E-04   1.6100E-06   2.0950E-01
   103.5000000   16.0000000   216.70   3.9530E-06   3.8029E-04   1.5800E-06   2.0950E-01
    88.5000000   17.0000000   216.70   3.8526E-06   3.8026E-04   1.5500E-06   2.0950E-01
    75.6500000   18.0000000   216.70   3.8273E-06   3.8023E-04   1.5200E-06   2.0950E-01
    64.6700000   19.0000000   216.70   3.8527E-06   3.8026E-04   1.4600E-06   2.0950E-01
    55.2900000   20.0000000   216.70   3.9021E-06   3.8021E-04   1.4200E-06   2.0950E-01
    47.2900000   21.0000000   217.60   3.9774E-06   3.8023E-04   1.3600E-06   2.0950E-01
    40.4700000   22.0000000   218.60   4.0683E-06   3.8031E-04   1.2700E-06   2.0950E-01
    34.6700000   23.0000000   219.60   4.2019E-06   3.8017E-04   1.1900E-06   2.0950E-01
    29.7200000   24.0000000   220.60   4.3031E-06   3.8028E-04   1.1200E-06   2.0950E-01
    25.4900000   25.0000000   221.60   4.4280E-06   3.8026E-04   1.0600E-06   2.0950E-01
    17.4300000   27.5000000   224.00   4.5784E-06   3.8028E-04   9.8700E-07   2.0950E-01
    11.9700000   30.0000000   226.50   4.7278E-06   3.8023E-04   9.1400E-07   2.0950E-01
     8.0100000   32.5000000   230.00   4.8280E-06   3.8024E-04   8.3000E-07   2.0950E-01
     5.7460000   35.0000000   236.50   4.9035E-06   3.8027E-04   7.4600E-07   2.0950E-01
     4.1500000   37.5000000   242.90   4.9521E-06   3.8016E-04   6.6200E-07   2.0950E-01
     2.8710000   40.0000000   250.40   5.0284E-06   3.8025E-04   5.6400E-07   2.0950E-01
     2.0600000   42.5000000   257.30   5.1537E-06   3.8027E-04   4.6100E-07   2.0950E-01
     1.4910000   45.0000000   264.20   5.2282E-06   3.8023E-04   3.6300E-07   2.0950E-01
     1.0900000   47.5000000   270.60   5.2545E-06   3.8033E-04   2.7700E-07   2.0950E-01
     0.7978000   50.0000000   270.70   5.2284E-06   3.8025E-04   2.1000E-07   2.0950E-01
     0.4250000   55.0000000   260.80   5.1030E-06   3.8022E-04   1.6500E-07   2.0950E-01
     0.2190000   60.0000000   247.00   4.7531E-06   3.8025E-04   1.5000E-07   2.0950E-01
